"model_B-MAX","model_C-MAX","model_EcoSport","model_Edge","model_Fiesta","model_Focus","model_Galaxy","model_Grand C-MAX","model_Grand Tourneo Connect","model_KA","model_Ka+","model_Kuga","model_Mondeo","model_Puma","model_S-MAX","model_Tourneo Connect","model_Tourneo Custom","year","price","transmission_Automatic","transmission_Manual","transmission_Semi-Auto","mileage","fuelType_Diesel","fuelType_Hybrid","fuelType_Petrol","tax","mpg","engineSize"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,11998,0,1,0,0.288260602335587,0,0,1,0.636363636363636,0.526595744680851,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,13498,0,1,0,0.262811674612535,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,13498,0,1,0,0.17535175002907,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,9895,0,1,0,0.316915563381451,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12995,0,1,0,0.248808119736208,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.285714285714286,9295,0,1,0,0.795744115350753,1,0,0,0.272727272727273,0.526595744680851,0.461538461538462
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,8495,0,1,0,0.405471851691889,0,0,1,0.272727272727273,0.468085106382979,0.153846153846154
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,13895,0,1,0,0.225900762471137,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,18298,0,1,0,0.356401269124072,1,0,0,0.636363636363636,0.813829787234043,0.769230769230769
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,18498,0,1,0,0.129487200784066,1,0,0,0.636363636363636,0.468085106382979,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571428571,13498,0,1,0,0.441801358826559,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,9998,0,1,0,0.340371102510008,0,0,1,0.272727272727273,0.414893617021277,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.571428571428571,10998,0,1,0,0.270918121563481,0,0,1,0.272727272727273,0.36436170212766,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,17698,0,1,0,0.241798036512234,0,0,1,0.636363636363636,0.127659574468085,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,11498,0,0,1,0.513563348228376,0,0,1,0.272727272727273,0.390957446808511,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,12798,0,1,0,0.367979534543763,1,0,0,0.636363636363636,1,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,19495,0,1,0,0.227113407199455,1,0,0,0.636363636363636,0.297872340425532,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,9995,0,1,0,0.428163258525889,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571428571,13998,0,1,0,0.407033339424243,1,0,0,0.727272727272727,0.731382978723404,0.384615384615385
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,11998,0,1,0,0.109088190833735,0,0,1,0.636363636363636,0.694148936170213,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,16698,0,1,0,0.084984800411967,1,0,0,0.636363636363636,0.468085106382979,0.384615384615385
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,8998,0,1,0,0.527168225385804,0,0,1,0.272727272727273,0.441489361702128,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12495,0,1,0,0.206398777388329,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.571428571428571,7995,0,1,0,0.213807538331202,0,0,1,0.636363636363636,0.558510638297872,0.153846153846154
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21995,0,1,0,0.0682735593614512,0,0,1,0.636363636363636,0.36436170212766,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,16995,0,1,0,0.57623880795362,1,0,0,0.636363636363636,0.622340425531915,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,11995,0,1,0,0.534344424325986,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,19995,0,1,0,0.187893486602768,1,0,0,0.636363636363636,0.297872340425532,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,8995,0,1,0,0.524227977208924,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.571428571428571,8295,0,1,0,0.382049535706573,0,0,1,0.636363636363636,0.558510638297872,0.153846153846154
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,14698,0,1,0,0.106995132809515,0,0,1,0.636363636363636,0.468085106382979,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,14495,0,1,0,0.282878453130451,0,0,1,0.636363636363636,0.558510638297872,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,10995,0,0,1,0.440190036379342,1,0,0,0.272727272727273,0.590425531914894,0.769230769230769
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,19995,0,1,0,0.265768534361036,1,0,0,0.727272727272727,0.297872340425532,0.769230769230769
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.714285714285714,13495,0,1,0,0.017093307197794,0,0,1,0.636363636363636,0.297872340425532,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,12995,0,1,0,0.129836043788103,0,0,1,0.636363636363636,0.497340425531915,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12995,0,1,0,0.162461170451336,0,0,1,0.636363636363636,0.622340425531915,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12998,0,1,0,0.286383494742438,0,0,1,0.636363636363636,0.468085106382979,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.285714285714286,10298,0,1,0,0.470240369441353,1,0,0,0.272727272727273,0.590425531914894,0.461538461538462
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,11298,0,0,1,0.629229721423944,1,0,0,0.727272727272727,1,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.428571428571429,10698,0,1,0,0.94498247479194,1,0,0,0.272727272727273,0.622340425531915,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,15995,0,1,0,0.174404890446685,0,0,1,0.636363636363636,0.622340425531915,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,6995,0,0,1,0.843851226764564,0,0,1,0.909090909090909,0.196808510638298,0.461538461538462
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,13950,0,1,0,0.111280918287679,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,10650,0,1,0,0.528231365969534,0,0,1,0.727272727272727,0.771276595744681,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,7995,0,1,0,0.343842920978754,0,0,1,0.272727272727273,0.468085106382979,0.153846153846154
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,16995,0,1,0,0.545806408744331,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,11995,0,1,0,0.524792770644031,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,10995,0,1,0,0.229073572650708,0,0,1,0.272727272727273,0.390957446808511,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,20495,0,1,0,0.199887041312979,1,0,0,0.636363636363636,0.297872340425532,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,19995,0,1,0,0.18143158524228,1,0,0,0.636363636363636,0.813829787234043,0.769230769230769
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,19995,0,1,0,0.168939683383445,1,0,0,0.636363636363636,0.0398936170212766,0.769230769230769
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,18995,0,1,0,0.0380404990116115,0,0,1,0.636363636363636,0.414893617021277,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,11995,0,1,0,0.389840362796724,0,0,1,0.272727272727273,0.390957446808511,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571428571,16998,0,1,0,0.226332663333278,1,0,0,0.272727272727273,0.622340425531915,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,7398,0,1,0,0.584378478047808,0,0,1,0.272727272727273,0.468085106382979,0.153846153846154
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,11498,0,1,0,0.294141098689347,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,13998,0,1,0,0.165384807056596,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,16698,0,1,0,0.0754331467300121,0,0,1,0.636363636363636,0.622340425531915,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,9998,0,0,1,0.304390438379375,0,0,1,0.909090909090909,0.215425531914893,0.384615384615385
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,12498,0,1,0,0.155102244223326,0,0,1,0.636363636363636,0.622340425531915,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,14998,0,1,0,0.118473728799482,1,0,0,0.636363636363636,0.590425531914894,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571428571,16995,1,0,0,0.0614462034253061,0,0,1,0.636363636363636,0.0398936170212766,0.384615384615385
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,15495,0,1,0,0.093008189504809,0,0,1,0.636363636363636,0.622340425531915,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,10998,0,1,0,0.168175551088889,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,14998,1,0,0,0.282845229987209,0,0,1,0.727272727272727,0.25531914893617,0.384615384615385
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,8998,0,1,0,0.211830761308327,0,0,1,0.636363636363636,0.468085106382979,0.153846153846154
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,17998,0,1,0,0.150583896742471,0,0,1,0.636363636363636,0.127659574468085,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,18998,0,1,0,0.0546686822040233,0,0,1,0.636363636363636,0.0957446808510637,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.285714285714286,14498,0,1,0,0.457017558431203,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,14998,0,1,0,0.540042193391917,0,0,1,0.727272727272727,0.127659574468085,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,8498,0,1,0,0.363577468064254,0,0,1,0.272727272727273,0.468085106382979,0.153846153846154
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,13995,0,1,0,0.184870180567784,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,18498,0,1,0,0.239871094204223,0,0,1,0.636363636363636,0.127659574468085,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,13998,0,1,0,0.2225950597186,0,0,1,0.636363636363636,0.622340425531915,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,12798,0,1,0,0.175517865745278,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,14698,0,1,0,0.130749680227246,0,0,1,0.636363636363636,0.590425531914894,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12498,0,1,0,0.169786873536105,0,0,1,0.636363636363636,0.468085106382979,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571428571,13998,0,1,0,0.859997674379973,1,0,0,0.272727272727273,0.622340425531915,0.769230769230769
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.714285714285714,8195,0,1,0,0.203159520922274,0,0,1,0.636363636363636,0.297872340425532,0.153846153846154
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,17998,0,1,0,0.324324324324324,0,0,1,0.636363636363636,0.127659574468085,0.769230769230769
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,14498,0,1,0,0.19802654529145,0,0,1,0.636363636363636,0.468085106382979,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,7998,0,1,0,0.266931344374491,0,0,1,0.272727272727273,0.468085106382979,0.153846153846154
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,10998,0,1,0,0.442648548979219,0,0,1,0.636363636363636,0.656914893617021,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,10998,0,1,0,0.31792886925032,0,0,1,0.636363636363636,0.694148936170213,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.428571428571429,17698,0,0,1,0.186381833585275,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571428571,14498,0,1,0,0.387963255203575,1,0,0,0.636363636363636,0.622340425531915,0.769230769230769
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12898,0,1,0,0.253592252362996,0,0,1,0.636363636363636,0.441489361702128,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12198,0,1,0,0.132759680393362,0,0,1,0.636363636363636,0.343085106382979,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,9698,0,1,0,0.501769132377614,0,0,1,0.636363636363636,0.441489361702128,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.285714285714286,14298,0,1,0,0.726191464974501,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,15798,0,1,0,0.0753002541570458,0,0,1,0.636363636363636,0.590425531914894,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,10298,0,1,0,0.151946045615376,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,16698,0,1,0,0.0505490124420671,0,0,1,0.636363636363636,0.0664893617021277,0.384615384615385
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,8998,0,1,0,0.0869117427199787,0,0,1,0.272727272727273,0.468085106382979,0.153846153846154
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.285714285714286,8998,0,1,0,0.471070948022392,1,0,0,0.272727272727273,0.622340425531915,0.461538461538462
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,12498,0,0,1,0.203375471353345,0,0,1,0.272727272727273,0.390957446808511,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12498,0,1,0,0.297629528729713,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34498,0,0,1,0.0767786840312962,1,0,0,0.636363636363636,0.180851063829787,0.769230769230769
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,9298,0,1,0,0.278559444509045,0,0,1,0.636363636363636,0.215425531914893,0.384615384615385
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,10900,0,1,0,0.422897390322098,0,0,1,0.636363636363636,0.622340425531915,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,9998,0,1,0,0.397215900596355,0,0,1,0.272727272727273,0.441489361702128,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,12998,0,1,0,0.164454559045831,0,0,1,0.727272727272727,0.771276595744681,0
